orf_name,+1
YAL068C,2252
YAL067W-A,2393
YAL067C,9042
YAL065C,12042
YAL064W-B,12074
YAL064C-A,13685
YAL064W,21536
YAL063C-A,22737
YAL063C,28114
YAL062W,31218
YAL061W,33357
YAL060W,35091
YAL059W,36601
YAL058W,37446
YAL056W,39251
YAL055W,42186
YAL054C,44991
YAL053W,45795
YAL051W,48527
YAL049C,52588
YAL048C,54770
YAL047C,56831
YAL046C,57364
YAL044W-A,57545
YAL044C,58439
YAL043C,61033
YAL042W,61321
YAL041W,62800
YAL040C,67856
YAL039C,69542
YAL038W,71836
YAL037C-A,73435
YAL037W,74050
YAL036C,76154
YAL035W,76445
YAL034W-A,79731
YAL034C,81999
YAL033W,82757
YAL032C,84448
YAL031C,87032
YAL030W,87309
YAL029C,92459
YAL028W,92893
YAL027W,94659
YAL026C,99724
YAL025C,101135
YAL024C,105917
YAL023C,108589
YAL022C,110412
YAL021C,113360
YAL020C,114594
YAL019W,114858
YAL018C,119599
YAL017W,119911
YAL016W,124848
YAL015C,128041
YAL014C,129003
YAL013W,129277
YAL012W,130756
YAL011W,132228
YAL010C,135649
YAL009W,135886
YAL008W,136904
YAL007C,138380
YAL005C,141547
YAL003W,142160
YAL002W,143475
YAL001C,151136
YAR002W,152260
YAR002C-A,154744
YAR003W,154990
YAR007C,158654
YAR008W,158914
YAR014C,168982
YAR015W,169272
YAR018C,171690
YAR019C,175126
YAR020C,177037
YAR023C,179904
YAR027W,183736
YAR028W,184876
YAR029W,186324
YAR031W,187030
YAR033W,188090
YAR035W,190276
YAR035C-A,192466
YAR042W,192619
YAR050W,203501
YAR064W,220206
YAR066W,
YAR068W,222504
YAR071W,
YBL113C,
YBL112C,
YBL111C,
YBL108C-A,7791
YBL107C,10477
YBL106C,13915
YBL105C,17910
YBL104C,21256
YBL103C,23735
YBL102W,24044
YBL101C,28576
YBL100W-C,28390
YBL099W,36771
YBL098W,39141
YBL097W,40803
YBL095W,43316
YBL093C,44971
YBL092W,45649
YBL091C-A,47163
YBL091C,48597
YBL090W,48843
YBL089W,49600
YBL088C,59387
YBL087C,60751
YBL086C,62649
YBL085W,63713
YBL084C,69540
YBL082C,71360
YBL081W,71620
YBL080C,74701
YBL079W,75248
YBL078C,80731
YBL076C,84269
YBL075C,86418
YBL074C,87779
YBL072C,89045
YBL071C-B,89619
YBL071W-A,89982
YBL069W,90739
YBL068W,92414
