orf_name,gene,chr,cat,start,stop,strand,classification,length,TSS,PAS,manually_curated,promoter_start,promoter_end,gene_body_start,gene_body_end
YBL003C,HTA2,2,gene,235394,235792,-,Verified,398,235828,235222.0,False,235828.0,236128.0,235328.0,235828.0
YBL002W,HTB2,2,gene,236492,236887,+,Verified,395,236470,237080.0,False,236170.0,236470.0,236470.0,236970.0
YBR187W,GDT1,2,gene,602634,603476,+,Uncharacterized,842,602551,603615.0,False,602251.0,602551.0,602551.0,603051.0
YDL211C,YDL211C,4,gene,79294,80412,-,Uncharacterized,1118,80446,79144.0,False,80446.0,80746.0,79946.0,80446.0
YDL206W,YDL206W,4,gene,90176,92464,+,Uncharacterized,2288,90015,92491.0,False,89715.0,90015.0,90015.0,90515.0
YDL199C,YDL199C,4,gene,101290,103353,-,Uncharacterized,2063,103353,,,103353.0,103653.0,102853.0,103353.0
YDL180W,YDL180W,4,gene,135896,137539,+,Uncharacterized,1643,135771,137584.0,False,135471.0,135771.0,135771.0,136271.0
YDL177C,YDL177C,4,gene,141209,141721,-,Uncharacterized,512,141774,141120.0,False,141774.0,142074.0,141274.0,141774.0
YDL168W,SFA1,4,gene,159604,160764,+,Verified,1160,159549,160817.0,False,159249.0,159549.0,159549.0,160049.0
YDL159W-A,YDL159W-A,4,gene,172182,172313,+,Uncharacterized,131,172182,,,171882.0,172182.0,172182.0,172682.0
YDL157C,YDL157C,4,gene,174232,174588,-,Uncharacterized,356,174604,174073.0,False,174604.0,174904.0,174104.0,174604.0
YDL156W,YDL156W,4,gene,174918,176486,+,Uncharacterized,1568,174825,,False,174525.0,174825.0,174825.0,175325.0
YDL153C,SAS10,4,gene,181186,183018,-,Verified,1832,183045,181046.0,False,183045.0,183345.0,182545.0,183045.0
YDL146W,LDB17,4,gene,192750,194225,+,Verified,1475,192568,194285.0,False,192268.0,192568.0,192568.0,193068.0
YDL133W,YDL133W,4,gene,222427,223740,+,Uncharacterized,1313,222293,223782.0,False,221993.0,222293.0,222293.0,222793.0
YDL118W,YDL118W,4,gene,247302,247682,+,Uncharacterized,380,247302,,,247002.0,247302.0,247302.0,247802.0
YDL114W,YDL114W,4,gene,255604,256530,+,Uncharacterized,926,255604,,,255304.0,255604.0,255604.0,256104.0
YDL073W,YDL073W,4,gene,326613,329567,+,Uncharacterized,2954,326434,329624.0,False,326134.0,326434.0,326434.0,326934.0
YDL027C,YDL027C,4,gene,403695,404957,-,Uncharacterized,1262,405004,403688.0,False,405004.0,405304.0,404504.0,405004.0
YDR026C,YDR026C,4,gene,492556,494268,-,Verified,1712,494412,492506.0,False,494412.0,494712.0,493912.0,494412.0
YDR034C-A,YDR034C-A,4,gene,520516,520692,-,Uncharacterized,176,520907,,False,520907.0,521207.0,520407.0,520907.0
YDR056C,YDR056C,4,gene,565023,565640,-,Uncharacterized,617,565699,564920.0,False,565699.0,565999.0,565199.0,565699.0
YDR114C,YDR114C,4,gene,681924,682226,-,Uncharacterized,302,682226,,,682226.0,682526.0,681726.0,682226.0
YDR119W-A,YDR119W-A,4,gene,691014,691214,+,Uncharacterized,200,690986,691460.0,False,690686.0,690986.0,690986.0,691486.0
YDR132C,YDR132C,4,gene,718816,720303,-,Uncharacterized,1487,720425,718780.0,False,720425.0,720725.0,719925.0,720425.0
YDR169C-A,YDR169C-A,4,gene,794574,794723,-,Uncharacterized,149,794723,,,794723.0,795023.0,794223.0,794723.0
YDR182W-A,YDR182W-A,4,gene,829151,829354,+,Uncharacterized,203,829151,,,828851.0,829151.0,829151.0,829651.0
YDR194W-A,YDR194W-A,4,gene,848071,848223,+,Uncharacterized,152,848120,848558.0,False,847820.0,848120.0,848120.0,848620.0
YDR222W,YDR222W,4,gene,910054,911301,+,Uncharacterized,1247,910019,911466.0,False,909719.0,910019.0,910019.0,910519.0
YDR238C,SEC26,4,gene,937895,940816,-,Verified,2921,940850,937700.0,False,940850.0,941150.0,940350.0,940850.0
YDR257C,RKM4,4,gene,969990,971474,-,Verified,1484,971479,969687.0,False,971479.0,971779.0,970979.0,971479.0
YDR282C,YDR282C,4,gene,1023511,1024755,-,Uncharacterized,1244,1024763,1023312.0,False,1024763.0,1025063.0,1024263.0,1024763.0
YDR306C,YDR306C,4,gene,1073735,1075171,-,Uncharacterized,1436,1075224,1073717.0,False,1075224.0,1075524.0,1074724.0,1075224.0
YDR319C,YDR319C,4,gene,1105003,1105827,-,Uncharacterized,824,1105875,1104930.0,False,1105875.0,1106175.0,1105375.0,1105875.0
YDR333C,YDR333C,4,gene,1133260,1135431,-,Uncharacterized,2171,1135436,1133038.0,False,1135436.0,1135736.0,1134936.0,1135436.0
YDR348C,YDR348C,4,gene,1170326,1171825,-,Uncharacterized,1499,1172025,1170147.0,False,1172025.0,1172325.0,1171525.0,1172025.0
YDR363W,ESC2,4,gene,1199183,1200553,+,Verified,1370,1199035,1200722.0,False,1198735.0,1199035.0,1199035.0,1199535.0
YDR506C,YDR506C,4,gene,1459728,1461554,-,Uncharacterized,1826,1461573,,False,1461573.0,1461873.0,1461073.0,1461573.0
YDR514C,YDR514C,4,gene,1471548,1472999,-,Uncharacterized,1451,1473075,1471453.0,False,1473075.0,1473375.0,1472575.0,1473075.0
YER086W,ILV1,5,gene,328477,330207,+,Verified,1730,328378,330347.0,False,328078.0,328378.0,328378.0,328878.0
YGR171C,MSM1,7,gene,840824,842551,-,Verified,1727,842575,840711.0,False,842575.0,842875.0,842075.0,842575.0
YJL158C,CIS3,10,gene,122265,122948,-,Verified,683,122991,122196.0,False,122991.0,123291.0,122491.0,122991.0
YJL081C,ARP4,10,gene,283802,285271,-,Verified,1469,285298,283655.0,False,285298.0,285598.0,284798.0,285298.0
YJR075W,HOC1,10,gene,573981,575171,+,Verified,1190,573933,575209.0,False,573633.0,573933.0,573933.0,574433.0
YMR079W,SEC14,13,gene,424989,426059,+,Verified,1070,424946,426390.0,False,424646.0,424946.0,424946.0,425446.0
YNL321W,VNX1,14,gene,34696,37422,+,Verified,2726,34696,,,34396.0,34696.0,34696.0,35196.0
YNL126W,SPC98,14,gene,387227,389767,+,Verified,2540,387165,389769.0,False,386865.0,387165.0,387165.0,387665.0
YOL005C,RPB11,15,gene,315813,316175,-,Verified,362,316201,315780.0,False,316201.0,316501.0,315701.0,316201.0
