Gene_ID,Gene_name,Fourier_score,P_value,FDR,Cell_cycle_phase
YGL257C,MNT2,7.049474321,0.01076,0.042628207,NA
YKL087C,CYT2,7.117418345,0.01088,0.043073088,NA
YFR053C,HXK1,6.515890935,0.01095,0.043319533,NA
YBL082C,ALG3,6.632840631,0.01096,0.04332843,NA
YHR134W,WSS1,7.00348815,0.01104,0.043613852,NA
YML100W,TSL1,6.591003622,0.01111,0.043859393,NA
YOR236W,DFR1,7.121598154,0.01115,0.043986239,NA
YMR079W,SEC14,7.071173118,0.01117,0.044034062,NA
YLR001C,YLR001C,6.952744747,0.01123,0.044239394,NA
YDR315C,IPK1,6.841358775,0.01127,0.044365704,NA
YDR217C,RAD9,6.87603715,0.01136,0.044688529,NA
YGR184C,UBR1,6.476577126,0.01138,0.044735724,NA
YDR284C,DPP1,7.130594717,0.0114,0.044782853,NA
YCR044C,PER1,7.09174205,0.01141,0.04479066,NA
YIL033C,BCY1,6.587879352,0.01144,0.044876912,NA
YNL088W,TOP2,6.9416153,0.01147,0.044963043,NA
YER130C,YER130C,7.054736972,0.01151,0.045088227,NA
YFL021W,GAT1,7.076524723,0.01153,0.045134944,NA
YHR078W,YHR078W,6.850780559,0.01155,0.045181596,NA
YDR084C,TVP23,7.040815031,0.01158,0.045267273,NA
YKL120W,OAC1,6.968559769,0.01165,0.045509085,NA
YNL265C,IST1,7.314900551,0.01168,0.045594413,NA
YCL039W,GID7,6.948313877,0.01169,0.045601605,NA
YDR100W,TVP15,6.854470138,0.01174,0.045764714,NA
YIL162W,SUC2,7.061133162,0.01176,0.045810732,NA
YFL047W,RGD2,6.973102041,0.0118,0.04593454,NA
YDL052C,SLC1,7.161388425,0.01183,0.046019276,NA
YKL061W,BLI1,6.88290969,0.01184,0.046026147,NA
YKL109W,HAP4,7.243513024,0.01186,0.046039861,NA
YDL204W,RTN2,5.59141684,0.01186,0.046039861,NA
YPR173C,VPS4,6.964611034,0.01192,0.046240666,NA
YNL284C,MRPL10,6.992303219,0.01193,0.046247365,NA
YIL159W,BNR1,6.95056025,0.01194,0.046254054,NA
YLR421C,RPN13,7.040243474,0.01196,0.046299446,NA
YBR093C,PHO5,7.382158797,0.01206,0.046525466,NA
YNL270C,ALP1,7.134288057,0.01206,0.046525466,NA
YNL149C,PGA2,7.316796773,0.01206,0.046525466,NA
YPL134C,ODC1,6.811231537,0.01206,0.046525466,NA
YAL037W,YAL037W,7.068610821,0.01204,0.046525466,NA
YDL069C,CBS1,7.014766798,0.01207,0.046531931,NA
YOL154W,ZPS1,7.16092009,0.0121,0.046615438,NA
YNL078W,NIS1,7.316310251,0.01212,0.046660331,NA
YKR041W,YKR041W,6.971600628,0.01215,0.046743634,NA
YOR305W,RRG7,6.956013181,0.01218,0.046826823,NA
YBL039W-B,YBL039W-B,7.125062719,0.01222,0.046883871,NA
YDL091C,UBX3,7.070802294,0.01221,0.046883871,NA
YKR001C,VPS1,6.910560905,0.01222,0.046883871,NA
YLR345W,YLR345W,6.933694282,0.01225,0.046966735,NA
YJL006C,CTK2,7.153662305,0.01228,0.046985079,NA
YOL093W,TRM10,6.995350067,0.01227,0.046985079,NA
YAR035W,YAT1,7.190065241,0.01228,0.046985079,NA
YHL040C,ARN1,7.039095125,0.0123,0.047029412,NA
YJR001W,AVT1,7.115151429,0.01232,0.047073684,NA
YBL107C,YBL107C,6.971052401,0.0124,0.04725017,NA
YLR205C,HMX1,7.161633883,0.01239,0.04725017,NA
YMR159C,ATG16,7.02810102,0.01239,0.04725017,NA
YNL223W,ATG4,6.901539451,0.0124,0.04725017,NA
YGR047C,TFC4,7.254321864,0.01243,0.047332221,NA
YLR052W,IES3,6.998137548,0.01249,0.047528319,NA
YDR175C,RSM24,7.102638371,0.01254,0.047686122,NA
YMR075W,RCO1,6.997648952,0.01255,0.047691706,NA
YOR327C,SNC2,7.043698141,0.01256,0.047697283,NA
YBR272C,HSM3,7.101866826,0.01258,0.047740801,NA
YEL012W,UBC8,6.476284411,0.0126,0.047784261,NA
YBR044C,TCM62,6.928257755,0.01262,0.047827661,NA
YNR016C,ACC1,6.972174253,0.01276,0.048325474,NA
YNL165W,YNL165W,6.719165277,0.01278,0.04836845,NA
YML053C,YML053C,7.1150443,0.01283,0.048524831,NA
YKR062W,TFA2,7.267939136,0.01284,0.048529817,NA
YNL323W,LEM3,7.067427965,0.01286,0.048572568,NA
YJL193W,YJL193W,7.275914965,0.01293,0.048771053,NA
YLR086W,SMC4,7.305947491,0.01293,0.048771053,NA
YGR189C,CRH1,7.046641734,0.01308,0.049303574,NA
YGL212W,VAM7,7.173520034,0.01316,0.049571698,NA
YPR158W,CUR1,7.094647114,0.01317,0.04957596,NA
YBR156C,SLI15,7.077222628,0.01323,0.049768304,NA
YPR032W,SRO7,7.051920716,0.01325,0.04981002,NA
YDL160C,DHH1,6.947705856,0.01329,0.049926815,NA
YDR313C,PIB1,7.09208817,0.01341,0.050208908,NA
YER187W,YER187W,7.05039818,0.01341,0.050208908,NA
YMR231W,PEP5,6.941623347,0.01339,0.050208908,NA
YNL213C,RRG9,7.140409443,0.0134,0.050208908,NA
YBR089C-A,NHP6B,7.038964865,0.01339,0.050208908,NA
YLR375W,STP3,6.709841183,0.01345,0.050324967,NA
YHR001W-A,QCR10,6.999542622,0.0135,0.050478261,NA
YPL003W,ULA1,6.687694414,0.01351,0.050481885,NA
YML115C,VAN1,6.997675758,0.01362,0.050858918,NA
YBR053C,YBR053C,6.37250619,0.01364,0.050899599,NA
YPR022C,YPR022C,6.892342077,0.01371,0.051126684,NA
YOR249C,APC5,7.016368523,0.01374,0.0512044,NA
YAR035C-A,YAR035C-A,7.049618048,0.01378,0.051319254,NA
YDL188C,PPH22,7.104555911,0.0138,0.051359521,NA
YGR005C,TFG2,6.873409779,0.01381,0.051362542,NA
YMR214W,SCJ1,7.105191784,0.01382,0.051365559,NA
YGL122C,NAB2,6.424195867,0.01385,0.051408699,NA
YBL071C-B,YBL071C-B,6.886020827,0.01385,0.051408699,NA
YOL077W-A,ATP19,6.451451,0.01388,0.051485866,NA
YKR058W,GLG1,6.598640068,0.0139,0.051525862,NA
YHR126C,ANS1,6.66474312,0.01398,0.051788072,NA
YDR457W,TOM1,7.07200698,0.01402,0.051901854,NA
YOR256C,TRE2,6.806865071,0.01407,0.052052482,NA
YPL218W,SAR1,7.023533582,0.0141,0.052128968,NA
YDR090C,YDR090C,7.109345202,0.01412,0.052168407,NA
YLR219W,MSC3,7.006655665,0.01419,0.052392404,NA
YKR053C,YSR3,6.592420156,0.01421,0.052431617,NA
YJL077W-B,YJL077W-B,7.016860248,0.01422,0.052433905,NA
YDR235W,PRP42,6.580517468,0.01426,0.052546737,NA
YDR540C,IRC4,7.06620257,0.01427,0.052548946,NA
YGL018C,JAC1,6.77510817,0.01432,0.052698354,NA
YPL164C,MLH3,6.829748687,0.01438,0.052884342,NA
YJL049W,YJL049W,6.284697736,0.01447,0.053145401,NA
YDR516C,EMI2,6.649684327,0.01447,0.053145401,NA
YDL179W,PCL9,7.029564904,0.01456,0.05344084,NA
YHL033C,RPL8A,7.01693545,0.01457,0.053442454,NA
YKL050C,YKL050C,6.877040342,0.01459,0.053480721,NA
YNL095C,YNL095C,7.026537459,0.01461,0.05348389,NA
YOR141C,ARP8,7.001505718,0.01461,0.05348389,NA
YLR209C,PNP1,7.112149461,0.01462,0.053485471,NA
YKR084C,HBS1,6.896101261,0.01472,0.053816089,NA
YNL148C,ALF1,7.041595758,0.01473,0.053817451,NA
YDR163W,CWC15,6.649116878,0.01482,0.054110908,NA
YNR026C,SEC12,6.733721714,0.01484,0.054148564,NA
YJR011C,YJR011C,7.071700921,0.01486,0.054186171,NA
YDR180W,SCC2,6.589824986,0.01487,0.054187288,NA
YDR080W,VPS41,6.820699067,0.01495,0.054443322,NA
YKL133C,YKL133C,7.122301344,0.01496,0.054444271,NA
YPL226W,NEW1,7.072683934,0.01504,0.054699805,NA
YOR101W,RAS1,6.548849172,0.01506,0.054736931,NA
YOL078W,AVO1,6.679263028,0.01507,0.054737687,NA
YCR075W-A,YCR075W-A,6.874888157,0.01508,0.054738442,NA
YJL164C,TPK1,6.761341775,0.01511,0.054811746,NA
YAL049C,AIM2,6.570747256,0.01512,0.054812451,NA
YPL260W,YPL260W,6.797018011,0.01515,0.054885612,NA
YOR291W,YPK9,7.162607551,0.01523,0.055139702,NA
YOL076W,MDM20,6.897878015,0.01526,0.055212557,NA
YMR060C,SAM37,6.88811278,0.01531,0.055321849,NA
YNL297C,MON2,6.986888685,0.01531,0.055321849,NA
YGR271W,SLH1,7.066414166,0.01542,0.055647385,NA
YOL020W,TAT2,6.894634137,0.01542,0.055647385,NA
YBL104C,YBL104C,7.166888759,0.01544,0.055647711,NA
YKL098W,MTC2,6.963587719,0.01544,0.055647711,NA
YGR208W,SER2,6.827081812,0.01545,0.055647874,NA
YHR076W,PTC7,6.902376233,0.01546,0.055648036,NA
YER120W,SCS2,6.947832297,0.01547,0.055648198,NA
YDR322C-A,TIM11,6.930281082,0.01549,0.055649006,NA
YER015W,FAA2,6.405082621,0.0155,0.055649006,NA
YLR126C,YLR126C,6.996441606,0.01552,0.055649006,NA
YMR219W,ESC1,6.621565107,0.01552,0.055649006,NA
YNL180C,RHO5,7.039959343,0.01552,0.055649006,NA
YMR277W,FCP1,6.972367304,0.01555,0.055720833,NA
YDR359C,EAF1,6.876491029,0.01558,0.055792569,NA
YJR046W,TAH11,7.028773843,0.01561,0.055792775,NA
YNL015W,PBI2,6.285579302,0.0156,0.055792775,NA
YOR103C,OST2,6.732299753,0.01561,0.055792775,NA
YMR055C,BUB2,6.937468131,0.01562,0.055792843,NA
YOR194C,TOA1,6.871223552,0.01564,0.05579298,NA
YPL053C,KTR6,6.764460296,0.01564,0.05579298,NA
YKL164C,PIR1,7.075372899,0.01567,0.055864349,NA
YMR139W,RIM11,6.925061166,0.01568,0.055864372,NA
YKL029C,MAE1,6.952966581,0.01574,0.05604233,NA
YOR026W,BUB3,6.918570832,0.01575,0.05604233,NA
YDR262W,YDR262W,6.79881716,0.01579,0.056077573,NA
YJL099W,CHS6,6.895391951,0.01578,0.056077573,NA
YJR022W,LSM8,6.858501853,0.01578,0.056077573,NA
YBL021C,HAP3,7.004581137,0.01592,0.056503365,NA
YPL183W-A,RTC6,6.85917517,0.01594,0.056538452,NA
YJL166W,QCR8,6.76641974,0.01596,0.056573494,NA
YGL112C,TAF6,6.863728176,0.016,0.056679341,NA
YJL002C,OST1,6.784079915,0.01603,0.056713734,NA
YHR184W,SSP1,6.809988486,0.01603,0.056713734,NA
YCR045C,RRT12,6.794138269,0.01605,0.056748577,NA
YCR033W,SNT1,6.869575409,0.01615,0.057066056,NA
YOR367W,SCP1,6.929398419,0.01619,0.057171257,NA
YDR425W,SNX41,6.765366359,0.01625,0.0572385,NA
YGL142C,GPI10,7.02154951,0.01625,0.0572385,NA
YLR099C,ICT1,6.944121681,0.01624,0.0572385,NA
YLR257W,YLR257W,6.862924832,0.01624,0.0572385,NA
YHR118C,ORC6,6.898431977,0.0163,0.057342354,NA
YNL063W,MTQ1,6.909958076,0.01629,0.057342354,NA
YIL076W,SEC28,6.902604271,0.01637,0.05755239,NA
YGL004C,RPN14,6.789838059,0.01648,0.057902703,NA
YBL105C,PKC1,7.054629456,0.01651,0.057935279,NA
YJL218W,YJL218W,7.020314262,0.0165,0.057935279,NA
YOR081C,TGL5,7.034618318,0.01653,0.057969072,NA
YDR448W,ADA2,6.973159912,0.01657,0.058072915,NA
YPR035W,GLN1,7.026101259,0.01671,0.05852688,NA
YOL048C,RRT8,6.830680024,0.01678,0.058735254,NA
YGL141W,HUL5,6.899568565,0.01684,0.058908385,NA
YPL128C,TBF1,7.119388206,0.01686,0.058941463,NA
YGR088W,CTT1,5.6811617,0.0169,0.059007495,NA
YHR104W,GRE3,6.428572018,0.0169,0.059007495,NA
YDL098C,SNU23,6.810756073,0.01696,0.059106234,NA
YEL052W,AFG1,6.701647283,0.01695,0.059106234,NA
YNL328C,MDJ2,7.006848807,0.01695,0.059106234,NA
YDR162C,NBP2,6.460519284,0.01707,0.059452523,NA
YFR002W,NIC96,6.837920664,0.01711,0.059554732,NA
YDR089W,YDR089W,7.027220506,0.01719,0.059795955,NA
YDR183W,PLP1,6.496070861,0.01721,0.059828296,NA
YJR090C,GRR1,6.320203274,0.01728,0.059957258,NA
YKL073W,LHS1,6.566898595,0.01729,0.059957258,NA
YOL013C,HRD1,6.222764776,0.01726,0.059957258,NA
YJR107W,YJR107W,6.977887496,0.01727,0.059957258,NA
YGR006W,PRP18,6.837800113,0.01735,0.060048423,NA
YIL138C,TPM2,6.949981563,0.01737,0.060048423,NA
YJR135C,MCM22,6.857006466,0.01737,0.060048423,NA
YMR258C,YMR258C,6.808759372,0.01734,0.060048423,NA
YOR301W,RAX1,7.090753546,0.01736,0.060048423,NA
YKR066C,CCP1,6.912595695,0.01739,0.060080408,NA
YDR238C,SEC26,6.657984149,0.01743,0.060181408,NA
YLR319C,BUD6,6.625805012,0.01752,0.060454815,NA
YCR069W,CPR4,6.891578608,0.01757,0.060587053,NA
YOL003C,PFA4,6.725354999,0.01758,0.060587053,NA
YLR342W-A,YLR342W-A,6.749590857,0.01778,0.061238571,NA
YEL034W,HYP2,6.74935895,0.01788,0.0615416,NA
YMR285C,NGL2,6.948636304,0.01789,0.0615416,NA
YPL099C,AIM43,6.692155852,0.018,0.061881919,NA
YPR056W,TFB4,6.735573471,0.01809,0.062153104,NA
YAR028W,YAR028W,6.92209825,0.01811,0.0621836,NA
YNL329C,PEX6,6.871914438,0.01827,0.062694475,NA
YBR076W,ECM8,6.979959258,0.01832,0.062827485,NA
YBL080C,PET112,6.8698153,0.01852,0.063435539,NA
YMR202W,ERG2,6.889182672,0.01852,0.063435539,NA
YGR215W,RSM27,6.342802903,0.01859,0.063636314,NA
YLR225C,YLR225C,6.618363844,0.01864,0.063768421,NA
YGR044C,RME1,6.918056224,0.01868,0.063866177,NA
YGR132C,PHB1,6.692151402,0.01873,0.063958888,NA
YIR007W,YIR007W,6.903135514,0.01872,0.063958888,NA
YBR030W,RKM3,6.990168959,0.01878,0.064012317,NA
YBR158W,AMN1,7.029309977,0.01878,0.064012317,NA
YMR304W,UBP15,6.519003455,0.01877,0.064012317,NA
YAR002C-A,ERP1,6.892192564,0.0188,0.064041438,NA
YKR042W,UTH1,6.906884574,0.01894,0.06447905,NA
YDL074C,BRE1,6.915150588,0.01897,0.064541875,NA
YNL197C,WHI3,6.945649145,0.01905,0.064774635,NA
YHR161C,YAP1801,6.793450946,0.01908,0.064797813,NA
YOR342C,YOR342C,6.935647503,0.01907,0.064797813,NA
YER019W,ISC1,6.927869371,0.01911,0.064860291,NA
YHR175W,CTR2,6.783987303,0.01918,0.065058374,NA
YJL048C,UBX6,6.43432021,0.01925,0.065211024,NA
YPL204W,HRR25,6.657841535,0.01925,0.065211024,NA
YPL067C,YPL067C,6.756943365,0.01926,0.065211024,NA
YLR436C,ECM30,6.861080925,0.01931,0.065340738,NA
YHR007C-A,YHR007C-A,6.17011497,0.01938,0.065537931,NA
YBR080C,SEC18,6.900916893,0.01943,0.065587983,NA
YDR131C,YDR131C,6.99866817,0.01942,0.065587983,NA
YER155C,BEM2,6.782525943,0.01941,0.065587983,NA
YGR239C,PEX21,6.933302704,0.01946,0.065649608,NA
YDR066C,RTR2,6.687251002,0.01953,0.065800361,NA
YHL015W-A,YHL015W-A,6.851515142,0.01952,0.065800361,NA
YIR013C,GAT4,6.743815398,0.01954,0.065800361,NA
YOL112W,MSB4,6.847741562,0.0196,0.065962673,NA
YAL030W,SNC1,6.817720797,0.01966,0.066124789,NA
YDL053C,PBP4,6.748476484,0.01973,0.066274234,NA
YER109C,FLO8,6.770125665,0.01974,0.066274234,NA
YIR004W,DJP1,6.873253145,0.01973,0.066274234,NA
YOR165W,SEY1,6.923560621,0.01984,0.066569988,NA
YDL055C,PSA1,6.825506015,0.01998,0.06699952,NA
YER018C,SPC25,6.893130816,0.02005,0.067106762,NA
YER040W,GLN3,6.70964526,0.02006,0.067106762,NA
YFL046W,FMP32,6.872981752,0.02004,0.067106762,NA
YJR068W,RFC2,6.499727525,0.02003,0.067106762,NA
YGR026W,YGR026W,6.665671464,0.02011,0.067233792,NA
YDR190C,RVB1,6.751753821,0.02017,0.067394082,NA
YDR179C,CSN9,6.680052639,0.02022,0.067513851,NA
YMR030W,RSF1,6.326297332,0.02023,0.067513851,NA
YAL024C,LTE1,6.815892144,0.02026,0.067566667,NA
YLR389C,STE23,6.475916018,0.02027,0.067566667,NA
YDR092W,UBC13,6.684176927,0.02029,0.067593027,NA
YOL005C,RPB11,6.394927635,0.02034,0.067719238,NA
YLR093C,NYV1,6.831584936,0.02042,0.067864328,NA
YMR251W-A,HOR7,5.951918174,0.02041,0.067864328,NA
YPL189W,GUP2,6.803788682,0.02041,0.067864328,NA
YDR257C,RKM4,6.50937215,0.02046,0.067956863,NA
YMR292W,GOT1,6.880857433,0.02056,0.068207953,NA
YOR226C,ISU2,6.645421386,0.02055,0.068207953,NA
YBL020W,RFT1,6.665298367,0.02059,0.068266963,NA
YDR371W,CTS2,6.678158578,0.02061,0.068292768,NA
YNL115C,YNL115C,6.024693579,0.0207,0.068550355,NA
YOL111C,MDY2,6.922064299,0.02083,0.068899231,NA
YOR262W,YOR262W,6.784340861,0.02082,0.068899231,NA
YER107C,GLE2,6.752451392,0.02088,0.069023773,NA
YPL230W,USV1,6.576350433,0.021,0.069379433,NA
YDR164C,SEC1,6.754002196,0.02102,0.069404489,NA
YER114C,BOI2,6.917394331,0.02107,0.069528512,NA
YMR096W,SNZ1,6.318063451,0.02111,0.069578361,NA
YNL253W,TEX1,6.698947335,0.0211,0.069578361,NA
YOR108W,LEU9,6.256916693,0.02128,0.070097348,NA
YLR057W,YLR057W,6.569719673,0.0213,0.070121908,NA
YJL134W,LCB3,6.684144172,0.02142,0.070434,NA
YER106W,MAM1,6.919552424,0.02142,0.070434,NA
YIL014W,MNT3,6.811980718,0.0215,0.070655497,NA
YMR019W,STB4,6.867314779,0.02155,0.070736641,NA
YOR261C,RPN8,6.87405635,0.02155,0.070736641,NA
YDR003W-A,YDR003W-A,6.753357556,0.02167,0.071088791,NA
YHR144C,DCD1,6.810430995,0.0217,0.071136518,NA
YOR264W,DSE3,6.871603613,0.02171,0.071136518,NA
YOR285W,RDL1,6.220957206,0.02175,0.071225835,NA
YDR370C,YDR370C,6.378702237,0.02179,0.071273318,NA
YOR295W,UAF30,6.911224097,0.02179,0.071273318,NA
YGL081W,YGL081W,6.75672798,0.02185,0.071427778,NA
YOR330C,MIP1,6.732105086,0.02196,0.071745412,NA
YKL162C,YKL162C,6.810204978,0.02203,0.071932068,NA
YJL192C,SOP4,6.829027473,0.02205,0.071955342,NA
YOL068C,HST1,6.862521949,0.0221,0.072066997,NA
YOR380W,RDR1,6.841264573,0.02211,0.072066997,NA
YPL186C,UIP4,5.379007676,0.02216,0.072187879,NA
YFR055W,IRC7,6.84909888,0.02221,0.07230862,NA
YHR091C,MSR1,6.558681792,0.0223,0.072559371,NA
YDL114W,YDL114W,5.700161801,0.02232,0.072582199,NA
YLR299W,ECM38,6.414265488,0.02243,0.0728975,NA
YBR140C,IRA1,6.91880571,0.02247,0.072985067,NA
YMR047C,NUP116,6.781631905,0.02251,0.073072532,NA
YGR070W,ROM1,6.678890982,0.02253,0.073095009,NA
YDR017C,KCS1,6.822710995,0.02256,0.073107478,NA
YOR386W,PHR1,6.654588048,0.02255,0.073107478,NA
YDL186W,YDL186W,6.220021358,0.0227,0.07351854,NA
YMR208W,ERG12,6.712199615,0.02273,0.073573075,NA
YNR020C,ATP23,6.536818696,0.02284,0.073886343,NA
YJR010C-A,SPC1,6.652349039,0.02288,0.073972932,NA
YPL225W,YPL225W,5.73283155,0.0229,0.073994798,NA
YLR446W,YLR446W,6.733021326,0.02297,0.074178105,NA
YJL053W,PEP8,6.640357154,0.02299,0.074199827,NA
YOR307C,SLY41,6.744146362,0.02302,0.07425378,NA
YNL146W,YNL146W,6.771548988,0.02309,0.074436621,NA
YLR270W,DCS1,6.19359775,0.02324,0.074833871,NA
YOR069W,VPS5,6.710008308,0.02324,0.074833871,NA
YDR171W,HSP42,6.579502584,0.0233,0.07498388,NA
YBR197C,YBR197C,6.375858989,0.02336,0.075122657,NA
YJL083W,TAX4,6.68415845,0.02337,0.075122657,NA
YLR063W,YLR063W,6.659900452,0.02348,0.075432874,NA
YNL331C,AAD14,6.302288657,0.02353,0.075550086,NA
YLR050C,YLR050C,6.455519652,0.02361,0.075763433,NA
YLL027W,ISA1,6.748201145,0.02364,0.075816179,NA
YPR164W,MMS1,6.777959296,0.02366,0.075836812,NA
YPL233W,NSL1,6.791667054,0.02373,0.076017593,NA
YIL122W,POG1,6.49972584,0.02377,0.076102119,NA
YLR362W,STE11,6.646220274,0.0238,0.076154551,NA
YDL166C,FAP7,6.62339042,0.02387,0.07633484,NA
YHR020W,YHR020W,5.911142724,0.02396,0.076578845,NA
YDR320C-A,DAD4,6.555742596,0.02399,0.07658715,NA
YOR163W,DDP1,6.70519703,0.02398,0.07658715,NA
YDR438W,THI74,6.59513689,0.02404,0.076691101,NA
YPL144W,POC4,6.702471621,0.02405,0.076691101,NA
YDL002C,NHP10,6.583182162,0.02409,0.076731111,NA
YJR075W,HOC1,6.644235637,0.02408,0.076731111,NA
YPL082C,MOT1,6.739392379,0.02416,0.076910251,NA
YDR352W,YDR352W,6.701560283,0.02419,0.076937976,NA
YGL032C,AGA2,6.235107286,0.02421,0.076937976,NA
YPL219W,PCL8,6.666047405,0.0242,0.076937976,NA
YDR411C,DFM1,6.705942352,0.02428,0.077116591,NA
YDR078C,SHU2,6.595873205,0.0244,0.077453719,NA
YOR260W,GCD1,6.504122788,0.02445,0.077568388,NA
YHR143W,DSE2,6.664443614,0.0245,0.077670578,NA
YOR355W,GDS1,6.800476873,0.02451,0.077670578,NA
YKR091W,SRL3,6.827823027,0.02457,0.077816601,NA
YDR072C,IPT1,6.253043611,0.02463,0.077962458,NA
YKL103C,LAP4,6.328706164,0.02469,0.078108149,NA
YNL048W,ALG11,6.676895851,0.02475,0.078253676,NA
YJL198W,PHO90,6.741107228,0.0248,0.078367439,NA
YKL033W-A,YKL033W-A,6.805323869,0.02485,0.078481073,NA
YDR062W,LCB2,6.659144693,0.02501,0.078941784,NA
YEL015W,EDC3,6.717546203,0.02506,0.079041906,NA
YNL052W,COX5A,6.575017894,0.02507,0.079041906,NA
YCL052C,PBN1,6.535860035,0.02518,0.079343968,NA
YBR273C,UBX7,6.599443109,0.02536,0.079866141,NA
YDL157C,YDL157C,6.708049404,0.02543,0.079893034,NA
YGL019W,CKB1,6.756314553,0.0254,0.079893034,NA
YKL175W,ZRT3,6.772654508,0.02541,0.079893034,NA
YNL287W,SEC21,6.723223136,0.02542,0.079893034,NA
YLR174W,IDP2,5.76328385,0.02544,0.079893034,NA
YNL087W,TCB2,6.674327792,0.02558,0.080287591,NA
YPL056C,LCL1,6.621474677,0.02564,0.080430752,NA
YOR271C,FSF1,6.700664595,0.02568,0.080511049,NA
YBL090W,MRP21,6.599159666,0.02572,0.080591256,NA
YJL186W,MNN5,6.596363304,0.02577,0.080702689,NA
YDL194W,SNF3,6.806114665,0.02583,0.080845297,NA
YDR073W,SNF11,6.774025889,0.02595,0.081175434,NA
YCR093W,CDC39,6.603535074,0.026,0.081286353,NA
YJL047C,RTT101,6.348764556,0.02609,0.081522135,NA
YOL082W,ATG19,6.218921441,0.02617,0.081726425,NA
YIL048W,NEO1,6.589359836,0.02619,0.081743216,NA
YPR029C,APL4,6.600256058,0.02621,0.081759989,NA
YNL327W,EGT2,6.703675843,0.02624,0.08180792,NA
YMR105C,PGM2,5.847515381,0.02631,0.081980435,NA
YNL261W,ORC5,6.591591613,0.02644,0.08233961,NA
YBR188C,NTC20,6.223165867,0.02648,0.082418263,NA
YMR301C,ATM1,6.707768793,0.02651,0.082465721,NA
YDR497C,ITR1,6.507147939,0.02666,0.082886207,NA
YJR141W,YJR141W,6.704687515,0.02672,0.08302657,NA
YER060W,FCY21,6.70945413,0.02676,0.083058523,NA
YKL127W,PGM1,6.44538431,0.02675,0.083058523,NA
YMR220W,ERG8,6.448873702,0.02678,0.083059401,NA
YOR085W,OST3,6.602661133,0.02679,0.083059401,NA
YIR035C,YIR035C,6.669811333,0.02684,0.083168293,NA
YNR027W,BUD17,6.616639935,0.02687,0.083215125,NA
YLR240W,VPS34,6.716951437,0.0269,0.083261905,NA
YCL056C,YCL056C,6.642845016,0.02692,0.083277698,NA
YHR133C,NSG1,6.567136594,0.02701,0.083463737,NA
YKR087C,OMA1,6.292725831,0.02701,0.083463737,NA
YJL081C,ARP4,6.539169107,0.02703,0.083479392,NA
YLR214W,FRE1,6.488629016,0.02706,0.083479801,NA
YPL117C,IDI1,6.622413523,0.02706,0.083479801,NA
YML082W,YML082W,6.654473068,0.02711,0.083587921,NA
YMR243C,ZRC1,6.523515424,0.02713,0.083603473,NA
YIL035C,CKA1,6.498477637,0.02722,0.083834601,NA
YDR144C,MKC7,6.697338674,0.02728,0.083973128,NA
YNL029C,KTR5,6.588029004,0.02737,0.084203797,NA
YDR011W,SNQ2,6.694745942,0.02741,0.084280473,NA
YDR070C,FMP16,5.649012286,0.02749,0.084479989,NA
YFR033C,QCR6,6.229328946,0.02751,0.084494292,NA
YHR102W,KIC1,6.724177478,0.02753,0.084494292,NA
YIL157C,COA1,6.550119823,0.02754,0.084494292,NA
YLR355C,ILV5,6.731333628,0.02759,0.084601262,NA
YGR287C,IMA1,6.462300806,0.02769,0.084861349,NA
YIL009W,FAA3,6.732068741,0.02777,0.08505989,NA
YHL035C,VMR1,6.575940364,0.02791,0.085441895,NA
YIL071C,PCI8,6.428230861,0.02798,0.085593053,NA
YNL154C,YCK2,6.716159297,0.02799,0.085593053,NA
YNL108C,YNL108C,6.607394857,0.02805,0.085729634,NA
YOR022C,YOR022C,6.081926724,0.02823,0.086232623,NA
YHL017W,YHL017W,6.653474513,0.02838,0.086643474,NA
YMR212C,EFR3,6.481983517,0.02845,0.086809771,NA
YLR249W,YEF3,6.43237957,0.02859,0.087189362,NA
YNL112W,DBP2,6.577180095,0.02866,0.08735518,NA
YDR137W,RGP1,6.205797927,0.0287,0.087412255,NA
YIL112W,HOS4,6.574351529,0.02871,0.087412255,NA
YJL184W,GON7,6.41557523,0.02873,0.087425531,NA
YOL129W,VPS68,6.334468206,0.02877,0.087499619,NA
YOL072W,THP1,6.468728867,0.02882,0.087604024,NA
YOR177C,MPC54,6.536104975,0.02887,0.087708315,NA
YCL008C,STP22,6.094051729,0.02889,0.087721401,NA
YDR459C,PFA5,6.672783781,0.02909,0.088232827,NA
YIR001C,SGN1,6.446031878,0.02909,0.088232827,NA
YPR100W,MRPL51,6.275272096,0.02911,0.088245607,NA
YMR317W,YMR317W,6.516506443,0.02913,0.088258374,NA
YGL238W,CSE1,6.624303602,0.02931,0.088755634,NA
YLR258W,GSY2,6.03812472,0.02936,0.088858906,NA
YKR070W,YKR070W,6.631394931,0.02941,0.088962067,NA
YDL021W,GPM2,5.797494377,0.02947,0.089095349,NA
YJL062W,LAS21,6.606530256,0.02956,0.089319135,NA
YPL087W,YDC1,6.456886746,0.02964,0.08951248,NA
YLR300W,EXG1,6.649306277,0.0297,0.089645248,NA
YDL064W,UBC9,6.651376344,0.02972,0.089657205,NA
YBR252W,DUT1,6.555458671,0.03008,0.090694283,NA
YEL062W,NPR2,6.422116777,0.03031,0.091338491,NA
YDR076W,RAD55,6.390514627,0.03041,0.091590463,NA
YGL083W,SCY1,6.618913204,0.03055,0.091962574,NA
